,user,correct,mark,topic,notes,explanation,reference,conclusion,trick
1,D,D,O,benefit,low latency across the world - global reach,,,,
2,B,B,O,calculator,"TCO caculator, Cost Explorer, Budgets, Simple Monthly Calculator",,,,
3,A,A,O,AWS service,"Artifact, Trusted Advisor, CloudTrail, Amazon Inspector",,,,
4,C,C,O,elasticity,use of resources in accordance with arising needs,,,,
5,AD,AD,O,database,"RDS, RedShift",,,,
6,AC,AC,O,AWS service,CloudFront - caching content for fast download,,,,
7,B,B,O,reliability,recover from failure,,,,
8,A,A,O,AWS service,Domain Name System,,,,
9,BC,BC,O,support plan,pricing,,,,
10,AB,B,X,shared responsibility,,,,,
11,C,C,O,account,MFA for account security ,"AWS config, Organizations Cloudwatch Logs Insights",,,
12,B,B,O,centralized management,"CloudTrail, Organizations, CloudWatch, Direct Connect",,,,
13, ,B,X,serverless,"AWS Lambda, Fargate, S3, EFS, DynamoDB, API Gateway, SNS, Step Functions, Kinesis, Athena (NOT EC2, Lightsail, RDS)","A serverless architecture is a way to build and run applications and services without having to manage infrastructure. Your application still runs on servers, but all the server management is done by AWS.",,,
14,D,BD,X,DDoS,"Route 53, WAF (NOT KMS, CloudTrail)",,,,
15,D,C,X,shared responsibility,Security and Compliance is a shared responsibility between AWS and the customer.,,https://aws.amazon.com/compliance/shared-responsibility-model/,,
16,D,D,O,network,dedicated network connection between on-premises and AWS resources,"The AWS Direct Connect cloud service is the shortest path to your AWS resources. While in transit, your network traffic remains on the AWS global network and never touches the public internet.",,,
17,BD,BD,O,benefit,"trade capital expense for variable expense, benefit from massive economies of scale",,,,
18,C,C,O,calculator,"TCO caculator, Cost Explorer, Budgets, Simple Monthly Calculator",Difference between TCO calculator and Simple Monthly Calculator?,,,
19,AC,AC,O,support plan,enterprise,,,,
20,D,D,O,pricing,EC2 pricing discount - all upfront reserved instance for longest period,,,,
21,A,A,O,storage,"EFS, Snowball",,,,
22,B,B,O,AWS service,"Personal Health Dashboard, Service Health Dashboard, Cloudwatch, X-Ray",,,,
23,C,C,O,benefit,cost related benefits - lower variable costs and lower upfront costs,,,,
24,D,D,O,AWS service,marketplace,,,,
